id;title;summary;source;source_url;published_at;status;created_at;show_on_home
7845d099-8cf7-4bc0-9f27-41761d3f982a;Nike hợp tác với Anna Leigh Waters: Xu hướng thời trang pickleball và quần vợt.;Thỏa thuận của Nike với tài năng pickleball Anna Leigh Waters nói gì về thời trang quần vợt - The Athletic The New York Times;Sports Business Journal;https://news.google.com/rss/articles/CBMisgFBVV95cUxNTU00SVU3bW1LWGk0Z2JUeGw3d0pJbGxWc2p1RENLVUFHZ1NRZGh5ejkzRHo5ZEdWOEFDWHh3M1BZX3dYQ2VTU0FBSVBsS2hjVVhTZW9ES2NrcGpyN21HVWFIaDJUdHI2QlhJUzBYR2NNMWRuUl93MnJab2ZrbHVwOVlQYzBoVWtUbGFWeGd0QWhidERIRzFtc2Q4clZHbFZzakM3b3BTYWdsdnR0dXRGT3RR?oc=5;2026-01-13 13:21:27+00;draft;2026-01-16 09:57:37.392213+00;false
17358438-b1ab-4d38-b1be-1239a094f946;Những câu chuyện đáng chú ý tại Giải vô địch Quốc gia Trong nhà Pickleball Central;Bài viết tập hợp các câu chuyện nổi bật tại Giải vô địch Quốc gia Trong nhà Pickleball Central diễn ra từ ngày 19 đến 25 tháng 1 năm 2026. Bài viết được soạn trước khi Carvana Masters kết thúc, vì vậy một số chi tiết có thể thay đổi theo kết quả từ California.;PPA Tour;https://ppatour.com/storylines-for-the-pickleball-central-indoor-national-championships-january-19-25-2026/;2026-01-15 20:33:17+00;draft;2026-01-16 14:42:36.835524+00;false
15495942-b22b-4184-b8f7-a85dfdb29ce0;Những điểm nổi bật tại giải Vô địch Pickleball trong nhà toàn quốc 2026;Bài viết nêu bật những tiêu điểm tại giải vô địch Pickleball trong nhà toàn quốc tổ chức từ ngày 19 đến 25 tháng 1 năm 2026. Lưu ý rằng các thông tin có thể thay đổi do tổ chức Carvana Masters chưa kết thúc.;PPA Tour;https://ppatour.com/storylines-for-the-pickleball-central-indoor-national-championships-january-19-25-2026/;2026-01-15 20:33:17+00;draft;2026-01-16 14:47:44.411243+00;false
de687042-5790-4501-b4cc-067e9a62c892;Những câu chuyện nổi bật tại Giải Vô địch Quốc gia Pickleball 2026;Bài viết chia sẻ về những câu chuyện đáng chú ý tại Giải Vô địch Quốc gia Pickleball 2026 (19-25/1), tổ chức tại Trung tâm. Bài viết bao gồm các nội dung chính: địa điểm, giải đấu, truyền hình, kết quả Đơn nam, Đơn nữ, Đôi nam nữ, Đôi nữ và Đôi nam.;PPA Tour;https://ppatour.com/storylines-for-the-pickleball-central-indoor-national-championships-january-19-25-2026/;2026-01-15 20:33:17+00;draft;2026-01-16 14:47:55.502385+00;false
b7bcc266-e169-41b2-b97a-4f98c9897f83;Cách đánh topspin drive như Ben Johns: 4 điểm mấu chốt để bóng nặng và ổn định;Bài trên Pickleball.com phân tích topspin drive theo phong cách Ben Johns: chuẩn bị vợt sớm, điểm chạm phía trước, quét lên theo quỹ đạo và giữ thăng bằng sau cú đánh. Hữu ích cho người muốn tăng độ xoáy nhưng vẫn kiểm soát.;Pickleball.com;https://pickleball.com/news/how-to-hit-a-topspin-drive-like-ben-johns;2026-02-01 08:29:03.972+00;published;2026-02-01 08:29:33.435557+00;false
8b9f53c3-76ee-41b3-ae8e-4333eb4dcc85;Thông tin vé và đăng ký cho các sự kiện PPA Tour 2025 & Major League Pickleball (MLP);Bài trên The Kitchen Pickle tổng hợp cách mua vé và đăng ký tham dự các chặng PPA Tour 2025 và sự kiện Major League Pickleball. Nội dung tập trung vào thời điểm mở bán/đăng ký, kênh đăng ký chính thức và các lưu ý cơ bản để người chơi, khán giả chuẩn bị trước.;The Kitchen Pickle;https://thekitchenpickle.com/blogs/news/tickets-registration-information-ppa-tour-major-league-pickleball;2026-02-01 08:33:02.707+00;published;2026-02-01 08:33:33.39235+00;false
58778170-0ca4-41c6-a814-a0ecf33f697c;Nhật ký tuyển thủ Will Howells: góc nhìn hậu trường mùa giải pickleball chuyên nghiệp;Bài trên APP đăng dạng “player blog” của Will Howells, chia sẻ trải nghiệm thi đấu và luyện tập, cảm nhận về giải đấu/đối thủ, cùng những điểm anh đang tập trung cải thiện. Nội dung phù hợp người theo dõi hệ thống giải pickleball chuyên nghiệp và fan của VĐV.;APP (Association of Pickleball Players);https://www.theapp.global/news/2025-player-blog-will-howells;2026-02-01 12:03:35.166+00;published;2026-02-01 12:04:08.355012+00;false
1d168815-7966-4a79-b9ea-b353d89fcb0e;MLP Cup Edward Jones: công bố thể thức vòng bảng và lịch thi đấu;MLP thông báo sự kiện Edward Jones MLP Cup (31/10–2/11) với vòng bảng rồi loại trực tiếp, quỹ thưởng 50.000 USD và cúp MLP Cup đầu tiên. Bài viết nêu cách chia bảng cho Premier/Challenger và lịch các trận.;Major League Pickleball;https://majorleaguepickleball.co/news/edward-jones-mlp-cup-pool-play-and-match-schedule-announced/;2026-02-01 12:06:37.773+00;published;2026-02-01 12:07:33.338577+00;false
ff8f53f2-463f-4155-951f-345bdcd478db;Kết quả Edward Jones MLP Cup: tóm tắt các trận và nhà vô địch;MLP tổng hợp kết quả Edward Jones MLP Cup: diễn biến vòng bảng, playoff và các cặp đấu quan trọng. Bài viết liệt kê kết quả theo hạng Premier/Challenger và trận chung kết để người hâm mộ tra cứu nhanh.;Major League Pickleball;https://majorleaguepickleball.co/news/edward-jones-mlp-cup-tournament-results/;2026-02-01 12:06:36.108+00;published;2026-02-01 12:07:35.219171+00;false
48c9b870-9498-4386-a4b5-cfc6d9314c52;MLP bắt tay Owl AI: hỗ trợ bắt biên tự động và cơ chế challenge mùa 2026;Major League Pickleball công bố hợp tác Owl AI để triển khai công nghệ gọi bóng tự động và hệ thống khiếu nại (challenge) trong mùa giải 2026, nhằm tăng tính công bằng và nhất quán trong trọng tài.;Major League Pickleball;https://majorleaguepickleball.co/news/major-league-pickleball-announces-partnership-with-sports-tech-company-owl-ai/;2026-02-01 12:06:34.545+00;published;2026-02-01 12:07:36.428912+00;false
93daf942-05e2-42fa-b37b-26169f99e328;Đội Brooklyn Pickleball Team bổ sung Tara & Hunter Fieri vào nhóm chủ sở hữu;MLP cho biết Brooklyn Pickleball Team bán một phần cổ phần cho Tara và Hunter Fieri. Thông báo nêu các chủ sở hữu hiện tại và xu hướng nhiều người nổi tiếng/athlete tham gia đầu tư vào các đội MLP.;Major League Pickleball;https://majorleaguepickleball.co/news/major-league-pickleballs-brooklyn-pickleball-team-adds-entrepreneurs-and-media-personalities-tara-and-hunter-fieri-to-ownership-group/;2026-02-01 12:06:32.783+00;published;2026-02-01 12:07:37.669907+00;false
ea858788-06dd-4525-8930-ddb546e05e50;MLP công bố lịch mùa 2026 (tháng 5–8) và mở bán vé phần lớn sự kiện;"MLP công bố lịch thi đấu mùa 2026, gồm các chặng tổ chức tại thị trường của đội, Mid-Season Tournament và playoff mở rộng. Vé được bán qua Tixr/Ticketmaster; bài viết kèm các điểm nhấn lịch và hoạt động cộng đồng.";Major League Pickleball;https://majorleaguepickleball.co/news/major-league-pickleball-announces-full-2026-may-august-season-schedule-majority-of-event-tickets-now-on-sale-via-tixr-and-ticketmaster/;2026-02-01 12:06:31.214+00;published;2026-02-01 12:07:39.351783+00;false
62ebeb0f-528c-4644-b879-e7e334d88216;Nhìn lại 5 năm Major League Pickleball (2021–2025): các cột mốc đáng chú ý;MLP điểm lại hành trình 5 năm phát triển: từ sự kiện đầu tiên với 8 đội đến các thay đổi về mô hình thi đấu, mở rộng quy mô và mức độ chuyên nghiệp hóa. Bài phù hợp người muốn nắm nhanh lịch sử và các mốc quan trọng.;Major League Pickleball;https://majorleaguepickleball.co/news/a-look-back-at-5-years-of-major-league-pickleball/;2026-02-01 12:06:29.416+00;published;2026-02-01 12:07:40.647737+00;false
